/workspace/sanxuatkhaulaodong/server.py:17: DeprecationWarning: 'cgi' is deprecated and slated for removal in Python 3.13
  import cgi
10.2.3.11 - - [25/Sep/2025 22:01:26] "GET / HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET / HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET /styles.css HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET /images/uploads/duong-oanh-banner.png HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET /images/logos/duong-oanh-new-logo.svg HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET /images/flags/russia.png HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET /images/flags/taiwan.png HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET /script.js HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET /images/logos/suleco.png HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET /images/logos/ecocom.png HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET /images/logos/asia.png HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET /images/logos/htd.png HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:27] "GET /api/admin/content/header HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:01:28] "GET /images/logos/duong-oanh-logo-new.svg HTTP/1.1" 304 -
127.0.0.1 - - [25/Sep/2025 22:01:33] "GET /api/admin/customer-registrations HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:01:39] "GET /customer-data.html HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:01:39] "GET /admin-styles.css HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:01:39] "GET /api/admin/customer-registrations HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 22:02:50] "DELETE /api/admin/customer-registrations/9 HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:02:57] "GET /customer-data.html HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:02:57] "GET /api/admin/customer-registrations HTTP/1.1" 200 -
127.0.0.1 - - [25/Sep/2025 22:03:38] "DELETE /api/admin/customer-registrations/8 HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:03:44] "GET /customer-data.html HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:03:44] "GET /api/admin/customer-registrations HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:04:17] "GET /test-delete.html HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:05:06] "GET /customer-data.html HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:05:06] "GET /api/admin/customer-registrations HTTP/1.1" 200 -
10.2.70.3 - - [25/Sep/2025 22:05:17] "GET / HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:05:52] "GET /customer-data.html HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:05:52] "GET /admin-styles.css HTTP/1.1" 304 -
10.2.46.132 - - [25/Sep/2025 22:05:52] "GET /api/admin/customer-registrations HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:05:59] "DELETE /api/admin/customer-registrations/7 HTTP/1.1" 200 -
10.2.46.132 - - [25/Sep/2025 22:05:59] "GET /api/admin/customer-registrations HTTP/1.1" 200 -
